#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      245.5   122.4    93.8   149.7   161.3   225.7   259.7   280.7   296.7   318.0   346.3   394.3   511.7  1584.5  4692.8  29922.6    30000  1777496242250  1777496252414
read      251.3   118.9    93.8   151.1   163.4   231.9   267.3   289.1   306.0   327.2   357.0   403.4   526.0  1336.9  4287.5  30060.1    30005  1777496253929  1777496264055
read      247.5   103.7    93.8   150.1   162.1   229.6   264.5   285.8   302.1   322.5   351.5   398.9   509.4   874.1  3258.7  29972.8    30010  1777496265569  1777496275670
read      245.8   103.6    93.8   150.2   161.5   225.8   260.6   282.5   299.4   321.4   352.9   401.8   524.9  1051.1  3199.4  30050.5    30015  1777496277183  1777496287283
read      252.1   107.7    93.8   151.8   164.3   233.1   268.9   290.7   307.8   329.1   359.1   406.1   531.6   970.5  3691.8  29961.2    30020  1777496288798  1777496298899
read      247.4   113.3    93.8   149.8   161.7   228.6   263.8   285.6   302.3   323.3   353.3   400.3   515.6   909.6  3426.3  29997.4    30025  1777496300414  1777496310515
read      244.1   113.5    93.8   148.6   159.7   224.5   259.6   281.7   298.4   320.2   350.6   397.6   512.2   856.0  3858.4  29948.2    30030  1777496312029  1777496322129
read      249.3   111.6    93.8   150.3   162.3   230.3   266.4   288.5   305.8   327.3   357.2   403.5   516.8   959.4  3450.5  29933.3    30035  1777496323642  1777496333746
read      244.0   107.5    93.8   149.2   160.9   226.1   260.2   281.0   296.6   317.4   345.3   392.8   503.5   863.1  4257.4  30147.9    30040  1777496335259  1777496345363
read      246.3   108.7   101.3   149.7   161.7   228.9   263.1   283.9   299.4   319.3   346.4   393.9   506.4  1031.4  3876.5  29994.6    30045  1777496346875  1777496356974
read      246.3   100.8   101.3   150.6   162.6   229.1   263.4   284.4   300.0   319.9   347.7   394.3   501.4   795.5  3283.6  30005.3    30050  1777496358486  1777496368586
read      240.0   102.4   101.3   146.5   157.4   221.6   255.6   276.8   293.9   315.3   344.2   392.1   503.0   785.0  2769.0  30049.1    30055  1777496370097  1777496380205
read      245.6    94.9   101.3   151.3   163.2   228.5   262.4   283.2   299.2   319.6   347.3   393.3   498.2   744.5  3162.6  30070.9    30060  1777496381718  1777496391817
read      243.5   107.4    93.8   148.8   160.3   225.1   259.5   281.0   297.0   318.4   347.5   395.4   503.5   783.3  3751.7  30196.4    30065  1777496393330  1777496403439
read      245.9   108.4    86.8   143.9   156.0   225.8   263.5   286.6   304.5   327.0   358.4   408.1   529.8   892.7  3213.1  30115.8    30070  1777496404958  1777496415082
read      250.6   113.7    93.8   150.6   164.2   233.1   267.9   289.0   305.2   325.0   353.2   399.5   507.9   990.2  4315.2  30026.2    30075  1777496416595  1777496426698
read      255.4   110.2   101.3   153.6   167.0   236.6   272.9   294.8   312.3   334.4   364.2   410.7   516.3   910.6  3828.1  30074.2    30080  1777496428212  1777496438320
read      250.1   112.4    93.8   148.9   161.5   231.2   267.9   290.5   308.1   330.0   360.4   408.6   520.4   792.0  4044.2  30092.0    30085  1777496439833  1777496449934
read      241.5   107.4    93.8   139.1   151.2   221.3   259.1   282.4   300.0   322.8   355.4   407.5   525.4   894.0  3195.4  30151.6    30090  1777496451447  1777496461553
read      238.3   118.4    86.8   141.8   153.9   220.4   253.8   274.3   290.8   311.2   339.3   387.1   501.2   939.2  5084.3  30119.7    30095  1777496463067  1777496473179
read      235.6    98.4    93.8   142.5   154.4   219.3   252.4   272.8   288.8   308.1   334.3   374.9   483.9   754.6  3953.5  30175.2    30100  1777496474694  1777496484800
read      244.6    95.9    93.8   147.4   160.4   228.4   263.1   283.9   299.6   319.3   347.2   393.3   496.0   693.2  3168.6  30062.1    30105  1777496486315  1777496496423
read      255.2   107.3    93.8   151.1   165.4   238.0   273.6   295.2   312.1   332.9   362.3   411.0   522.5   867.0  3724.7  30135.5    30110  1777496497938  1777496508038
read      258.2   107.7    86.8   153.1   167.9   241.2   277.6   299.9   316.9   338.1   366.4   412.7   518.0   857.9  3293.9  30091.4    30115  1777496509554  1777496519656
read      257.4   100.1    93.8   152.9   167.1   239.6   276.3   298.9   316.5   338.9   368.5   416.6   518.8   834.1  3131.5  30151.5    30120  1777496521169  1777496531268
read      248.7   106.3    93.8   150.8   163.8   231.5   266.6   287.9   304.1   323.9   351.3   395.3   496.8   822.0  3944.3  30110.5    30125  1777496532781  1777496542888
read      255.1    97.3    93.8   155.1   168.8   237.3   272.7   294.3   311.1   331.9   360.8   408.4   520.5   807.8  3149.7  30131.4    30130  1777496544402  1777496554519
read      254.8   130.8    93.8   154.2   168.1   236.6   272.1   293.7   310.8   331.8   360.7   405.2   507.4   770.1  4068.8  30129.6    30135  1777496556032  1777496566143
