Random waveform, random seed
Total number of intervals = 120 (30791, 31616, 50769, 7057, 41381, 44185, 23177, 65077, 28062, 60607, 88124, 40638, 59694, 78113, 99310, 95000, 96501, 30992, 56828, 106080, 52414, 39816, 101506, 30559, 20973, 88000, 47947, 40253, 94352, 29332, 88303, 107513, 93120, 107015, 17017, 64172, 51842, 85691, 91307, 94526, 109425, 87706, 52117, 97496, 50989, 42439, 80425, 10577, 80828, 52257, 41244, 50042, 82346, 48066, 43897, 11554, 12389, 87616, 105888, 81789, 37732, 34935, 73806, 54451, 44395, 93880, 69477, 73697, 16901, 5183, 47578, 45051, 85088, 39484, 79682, 17436, 76254, 33821, 29295, 95603, 49952, 44134, 13631, 62088, 102267, 16120, 105389, 98941, 78770, 109400, 101101, 54552, 73956, 64143, 94971, 30793, 79164, 27293, 41071, 93528, 34982, 20922, 65233, 39877, 70061, 17874, 85810, 104980, 41880, 30253, 20470, 39085, 104846, 100619, 46182, 104060, 12356, 66765, 50357, 26809)
Average QPS expected = 59893
Timestamp start: 1778343095017
Timestamp end: 1778344895336

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      271.4   107.4    80.4   137.8   154.7   270.7   309.0   329.3   343.4   361.1   382.4   415.1   484.6   682.7  2712.0  30766.9    30791
read      268.5    92.8    80.4   135.9   152.6   268.3   307.0   327.1   341.4   358.8   379.7   413.1   479.7   591.6  1999.7  31639.5    31616
read      264.8   110.5    74.4   127.2   141.1   256.1   308.3   335.0   353.9   375.3   402.6   443.5   526.9   651.8  2492.2  50841.8    50769
read      247.6    81.1    86.8   165.0   180.7   241.3   265.1   278.0   288.4   299.6   316.2   342.5   402.6  1045.3  3014.7   7027.5     7057
read      260.3   101.5    74.4   128.2   142.5   258.0   299.9   321.2   337.6   356.6   381.0   419.1   497.4   622.0  2611.9  41401.7    41381
read      260.8   100.5    74.4   127.8   142.0   257.0   301.2   323.8   340.7   360.9   386.4   424.9   504.4   636.5  1975.4  44197.2    44185
read      262.9    87.3    80.4   141.9   161.1   261.4   293.1   310.7   322.6   338.6   358.9   390.6   458.9   584.6  2620.1  23156.9    23177
read      255.6   112.5    74.4   122.4   135.6   238.6   293.9   321.9   343.1   368.5   400.6   451.1   550.1   722.2  2485.0  65134.1    65077
read      262.3    88.0    80.4   137.3   154.5   261.4   295.5   314.1   327.7   343.7   365.5   397.7   465.8   584.5  2375.1  28039.4    28062
read      257.0   112.7    74.4   123.4   136.9   242.1   296.2   323.6   344.0   368.4   399.0   446.1   542.6   732.5  2691.6  60623.6    60607
read      265.3   148.4    74.4   123.6   137.1   231.8   290.5   323.4   349.3   383.2   431.2   511.5   735.4  1331.6  3217.0  88056.7    88124
read      266.1   100.7    74.4   131.5   146.6   263.2   307.4   330.2   345.7   365.4   389.6   425.4   500.5   631.1  2065.0  40641.4    40638
