Random waveform, random seed
Total number of intervals = 120 (18196, 35822, 61511, 61621, 10539, 74189, 84582, 36624, 101188, 43639, 87660, 11243, 41403, 101332, 44465, 109829, 59431, 57576, 73122, 106253, 25640, 96000, 101920, 68835, 85818, 27489, 91056, 67865, 55517, 9373, 17568, 94778, 39420, 56331, 36451, 36314, 38807, 43826, 84756, 25657, 65953, 51233, 35140, 52758, 52288, 29275, 68173, 98962, 20346, 56401, 57647, 12488, 79384, 45561, 51300, 9432, 51788, 20942, 96784, 60378, 26721, 93799, 72159, 98191, 76135, 38269, 33616, 54334, 85064, 62453, 34528, 52446, 61339, 9815, 94480, 71456, 43963, 83603, 77143, 66213, 11458, 93899, 80334, 40006, 35634, 61549, 67807, 33097, 43262, 63233, 17081, 98710, 84526, 52092, 101609, 82896, 64878, 45989, 104485, 16075, 82106, 11126, 75301, 97222, 69130, 107642, 54595, 61711, 56960, 10185, 13592, 41967, 28650, 68104, 92058, 104408, 92701, 96280, 83223, 87127)
Average QPS expected = 59235
Timestamp start: 1778408485571
Timestamp end: 1778410285882

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      283.0    93.7    93.8   180.7   196.4   279.5   306.5   320.2   332.2   344.6   364.4   396.0   474.6   803.0  2961.5  18178.7    18196
read      287.8    86.9    93.8   176.2   189.9   286.8   322.1   339.4   351.2   365.5   383.2   410.1   479.8   679.1  2477.2  35818.3    35822
read      285.3    93.9    86.8   171.7   184.5   272.9   320.7   343.5   359.0   375.1   397.5   432.3   524.0   739.6  2421.2  61448.9    61511
read      281.0   100.2    86.8   171.3   184.2   271.2   317.7   338.9   352.8   367.7   386.5   413.0   479.8   665.8  3040.3  61629.8    61621
read      258.8    69.7   101.3   180.1   194.8   257.6   276.1   287.4   294.5   304.6   316.7   338.8   398.5   561.4  3015.1  10542.2    10539
read      277.9    90.6    93.8   170.0   182.8   265.3   312.1   335.6   350.8   367.2   387.1   415.4   481.6   659.4  2256.2  74290.3    74189
read      278.6    88.7    93.8   171.1   184.0   265.2   310.3   334.6   350.6   368.0   389.3   419.6   491.7   676.5  2026.9  84604.3    84582
read      281.5    87.1    93.8   176.1   190.0   283.3   315.6   330.8   340.5   352.0   366.7   390.0   443.2   586.1  2768.1  36686.0    36624
read      278.3    90.6    86.8   172.0   184.5   263.9   307.2   331.6   348.3   367.3   390.1   423.2   503.0   710.0  1932.6 101113.6   101188
read      281.7    82.3    93.8   174.2   187.4   281.4   318.4   335.2   345.7   359.0   372.7   397.6   458.4   632.9  2470.8  43667.1    43639
read      275.1    90.0    86.8   169.4   181.7   260.9   306.2   330.9   347.1   365.2   386.4   416.3   482.3   647.2  1818.6  87583.0    87660
read      255.9    82.6    93.8   179.0   193.4   255.1   273.3   283.9   290.9   298.3   311.5   329.9   380.4   569.0  3839.3  11233.7    11243
read      285.1    84.5    93.8   174.9   188.1   284.3   321.6   338.9   350.7   364.8   381.8   407.1   469.9   623.3  1992.2  41449.8    41403
read      277.6    89.4    86.8   171.7   184.2   263.1   306.2   330.7   347.3   366.5   389.3   422.2   501.9   720.3  2013.4 101196.7   101332
read      280.2    81.5    80.4   173.4   186.5   279.8   317.2   334.0   344.6   357.8   371.8   396.2   451.6   584.3  1998.4  44374.3    44465
read      280.1    99.1    86.8   171.8   184.6   265.1   307.6   331.8   348.5   368.0   392.0   427.9   528.4   777.1  3010.4 109681.9   109829
read      276.9    85.2    80.4   168.4   181.1   269.4   314.9   335.1   347.8   362.8   379.8   403.6   467.2   631.8  1918.6  59454.5    59431
read      277.5    91.7    86.8   168.6   181.4   270.2   315.1   335.1   347.6   362.5   379.1   403.1   466.2   643.0  3062.7  57717.1    57576
